90% - 100%,70% - 90%,50% - 70%,40% - 50%,10% - 40%,
Medical,Teaching Assistant,Sales ,Hotel Management,Ayurveda,
Engineering,Sound Engineering,Center head for sports,Milk Processing Operator,Mountaineer,
Management,HR ,Designer,Plant Engineering,Wrestler,
Chartered Accountancy,Sports Officer,Marketing,Nutritionist,Archer,
Data Scientist,Content Writer,Pathology,Physical Education,Coach,
Mobile Application Developer,Lab Assistant,Anchoring,Psychiatrist,Chef,
Finance,Campus Ambassador,Copy Writing,Receptionist,Caterer,
Executive Director,3-D Modelling,Journalism,Voiceover,Event Manager,
Researcher,Web Development,Content Production,Podcast Production,Trainer,
AI / ML Specialist,Finance,Blockchain Development,Singing,Environmentalist,
Pharmacy,Big Data Analyst,Game Development,Acting,Interior designing,
Mathematician,Brand Analyst,Cryptography,Dietician,Farmer,
Bioinformatics,Editor,Mining,Culinary Arts,Youtuber,
Professor,Digital Sculptor,Humanities,Choreography,Social Media Influencer,
Lawyer,Associate,Program Manager,Enterpreneur,Food Processing Superviser,
